Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     22.53     0.00       14     0.00     0.00  caml_register_frametable
  0.00     22.53     0.00       14     0.00     0.00  cons
  0.00     22.53     0.00       10     0.00     0.00  caml_flush_partial
  0.00     22.53     0.00        7     0.00     0.00  caml_adjust_gc_speed
  0.00     22.53     0.00        7     0.00     0.00  caml_alloc_channel
  0.00     22.53     0.00        7     0.00     0.00  caml_alloc_custom
  0.00     22.53     0.00        7     0.00     0.00  caml_check_urgent_gc
  0.00     22.53     0.00        6     0.00     0.00  caml_copy_double
  0.00     22.53     0.00        6     0.00     0.00  caml_int64_float_of_bits
  0.00     22.53     0.00        6     0.00     0.00  init_compact_allocate
  0.00     22.53     0.00        5     0.00     0.00  caml_open_descriptor_in
  0.00     22.53     0.00        4     0.00     0.00  camlHashtbl__add_1074
  0.00     22.53     0.00        3     0.00     0.00  camlHashtbl__create_1051
  0.00     22.53     0.00        3     0.00     0.01  camlList__iter_1074
  0.00     22.53     0.00        3     0.00     0.00  camlPervasives__max_1025
  0.00     22.53     0.00        3     0.00     0.00  camlPervasives__min_1022
  0.00     22.53     0.00        3     0.00     0.00  caml_final_do_weak_roots
  0.00     22.53     0.00        3     0.00     0.00  caml_finish_major_cycle
  0.00     22.53     0.00        3     0.00     0.00  caml_fl_reset
  0.00     22.53     0.00        3     0.00     0.00  caml_flush
  0.00     22.53     0.00        3     0.00     0.00  caml_greaterequal
  0.00     22.53     0.00        3     0.00     0.00  caml_lessequal
  0.00     22.53     0.00        3     0.00     0.00  caml_ml_flush
  0.00     22.53     0.00        3     0.00     0.00  caml_ml_open_descriptor_out
  0.00     22.53     0.00        3     0.00     0.00  caml_open_descriptor_out
  0.00     22.53     0.00        3     0.00     0.00  caml_register_custom_operations
  0.00     22.53     0.00        2     0.00     0.00  camlScanf__from_ic_1149
  0.00     22.53     0.00        2     0.00     0.00  camlScanf__loop_1525
  0.00     22.53     0.00        2     0.00     0.00  camlScanf__make_char_bit_vect_1520
  0.00     22.53     0.00        2     0.00     0.01  camlScanf__make_pred_1534
  0.00     22.53     0.00        2     0.00     0.00  camlScanf__make_setp_1541
  0.00     22.53     0.00        2     0.00     0.00  camlString__make_1038
