Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.00     0.00        1     0.00     0.00  caml_alloc_table
  0.00      1.00     0.00        1     0.00     0.00  caml_apply6
  0.00      1.00     0.00        1     0.00     0.00  caml_copy_string_array
  0.00      1.00     0.00        1     0.00     0.00  caml_curry4
  0.00      1.00     0.00        1     0.00     0.00  caml_curry4_1
  0.00      1.00     0.00        1     0.00     0.00  caml_curry7
  0.00      1.00     0.00        1     0.00     0.00  caml_curry7_1
  0.00      1.00     0.00        1     0.00     0.00  caml_curry7_2
  0.00      1.00     0.00        1     0.00     0.00  caml_curry7_3
  0.00      1.00     0.00        1     0.00     0.00  caml_curry7_4
  0.00      1.00     0.00        1     0.00     0.00  caml_curry7_5
  0.00      1.00     0.00        1     0.00     0.00  caml_curry7_6
  0.00      1.00     0.00        1     0.00     0.00  caml_debugger_init
  0.00      1.00     0.00        1     0.00     0.00  caml_executable_name
  0.00      1.00     0.00        1     0.00     0.00  caml_final_do_weak_roots
  0.00      1.00     0.00        1     0.00     1.34  caml_finish_major_cycle
  0.00      1.00     0.00        1     0.00     0.00  caml_fl_reset
  0.00      1.00     0.00        1     0.00     0.00  caml_init_custom_operations
  0.00      1.00     0.00        1     0.00     0.00  caml_init_frame_descriptors
  0.00      1.00     0.00        1     0.00     0.00  caml_init_gc
  0.00      1.00     0.00        1     0.00     0.00  caml_init_major_heap
  0.00      1.00     0.00        1     0.00     0.00  caml_init_signals
  0.00      1.00     0.00        1     0.00     0.00  caml_insert_global_root
  0.00      1.00     0.00        1     0.00    10.00  caml_main
  0.00      1.00     0.00        1     0.00     0.00  caml_ml_close_channel
  0.00      1.00     0.00        1     0.00     0.00  caml_ml_out_channels_list
  0.00      1.00     0.00        1     0.00     0.00  caml_page_table_initialize
  0.00      1.00     0.00        1     0.00   480.86  caml_program
  0.00      1.00     0.00        1     0.00     0.00  caml_realloc_ref_table
  0.00      1.00     0.00        1     0.00     0.00  caml_register_global_root
  0.00      1.00     0.00        1     0.00     0.00  caml_register_named_value
  0.00      1.00     0.00        1     0.00     0.00  caml_set_minor_heap_size
  0.00      1.00     0.00        1     0.00     0.00  caml_sys_exit
  0.00      1.00     0.00        1     0.00     0.00  caml_sys_get_argv
  0.00      1.00     0.00        1     0.00     0.00  caml_sys_get_config
  0.00      1.00     0.00        1     0.00     0.00  caml_sys_init
  0.00      1.00     0.00        1     0.00     0.00  hash_value_name
  0.00      1.00     0.00        1     0.00     0.00  norm_minsize
  0.00      1.00     0.00        1     0.00     0.00  norm_pfree
  0.00      1.00     0.00        1     0.00     0.00  norm_pmax

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
