Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     32.42     0.00     3459     0.00     0.00  caml_iterate_global_roots
  0.00     32.42     0.00     3186     0.00     0.00  caml_empty_minor_heap
  0.00     32.42     0.00     3186     0.00     0.00  caml_final_empty_young
  0.00     32.42     0.00     3186     0.00     0.00  clear_table
  0.00     32.42     0.00     2508     0.00     0.00  caml_process_pending_signals
  0.00     32.42     0.00     1685     0.00     0.00  camlPervasives__input_1224
  0.00     32.42     0.00     1685     0.00     0.00  caml_ml_input
  0.00     32.42     0.00     1593     0.00     0.00  caml_final_do_calls
  0.00     32.42     0.00     1593     0.00     0.00  caml_final_do_young_roots
  0.00     32.42     0.00     1593     0.00     0.00  caml_major_collection_slice
  0.00     32.42     0.00     1593     0.00     0.00  caml_minor_collection
  0.00     32.42     0.00     1593     0.00     0.00  caml_scan_global_young_roots
  0.00     32.42     0.00     1580     0.00     0.00  caml_garbage_collection
  0.00     32.42     0.00      464     0.00     0.00  caml_enter_blocking_section
  0.00     32.42     0.00      464     0.00     0.00  caml_enter_blocking_section_default
  0.00     32.42     0.00      464     0.00     0.00  caml_leave_blocking_section
  0.00     32.42     0.00      464     0.00     0.00  caml_leave_blocking_section_default
  0.00     32.42     0.00      422     0.00     0.00  caml_do_read
  0.00     32.42     0.00      134     0.00     0.00  camlPervasives__char_of_int_1120
  0.00     32.42     0.00       92     0.00     0.00  caml_fl_init_merge
  0.00     32.42     0.00       91     0.00     0.00  caml_do_local_roots
  0.00     32.42     0.00       91     0.00     0.00  caml_do_roots
  0.00     32.42     0.00       91     0.00     0.00  caml_final_do_strong_roots
  0.00     32.42     0.00       91     0.00     0.00  caml_scan_global_roots
  0.00     32.42     0.00       87     0.00     0.00  caml_darken_all_roots
  0.00     32.42     0.00       87     0.00     0.00  caml_final_update
  0.00     32.42     0.00       87     0.00     0.00  start_cycle
  0.00     32.42     0.00       82     0.00     0.00  caml_compact_heap_maybe
  0.00     32.42     0.00       46     0.00     0.00  caml_page_table_add
  0.00     32.42     0.00       34     0.00     0.00  do_write
  0.00     32.42     0.00       32     0.00     0.00  caml_aligned_malloc
  0.00     32.42     0.00       31     0.00     0.00  caml_alloc_for_heap
  0.00     32.42     0.00       31     0.00     0.00  clip_heap_chunk_size
  0.00     32.42     0.00       30     0.00     0.00  caml_add_to_heap
  0.00     32.42     0.00       30     0.00     0.00  caml_fl_add_blocks
